Edge 	Weight
ARN - EVG 	326.741 
AER - EVN 	519.734 
DTW - EVV 	584.475 
MVY - EWB 	42.4668 
CLT - EWN 	354.951 
OSL - EWR 	5933.1 
DUS - EXT 	714.321 
SVX - EYK 	837.156 
BOG - EYP 	206.996 
MIA - EYW 	201.927 
GRU - EZE 	1722.2 
ESB - EZS 	566.921 
BGO - FAE 	696.882 
SEA - FAI 	2461.58 
PMI - FAO 	975.303 
MSP - FAR 	358.726 
SEA - FAT 	1205.66 
PPT - FAV 	452.302 
DCA - FAY 	459.469 
ADD - FBM 	2604.51 
SEA - FCA 	607.867 
IST - FCO 	1373.53 
CDG - FDF 	6869.67 
IST - FDH 	1678.18 
TAS - FEG 	230.192 
NAT - FEN 	390.244 
BCN - FEZ 	1027.73 
IST - FIH 	5254.13 
AZI - FJR 	203.156 
SKG - FKB 	1489.2 
FIH - FKI 	1225.15 
CLE - FKL 	165.985 
AMQ - FKQ 	472.037 
CTS - FKS 	626.146 
BOG - FLA 	380.179 
PHX - FLG 	192.07 
CPH - FLL 	7811.78 
GRU - FLN 	514.986 
CLT - FLO 	159.698 
BRI - FLR 	543.703 
LST - FLS 	174.418 
TER - FLW 	357.023 
AEP - FMA 	928.262 
KOO - FMI 	255.743 
BEG - FMM 	847.92 
DEN - FMN 	465.466 
FRA - FMO 	241.698 
CMN - FNA 	2811.68 
LIS - FNC 	965.138 
CRL - FNI 	745.212 
PEK - FNJ 	783.242 
CLE - FNT 	232.778 
XIY - FOC 	1410.9 
ORD - FOE 	737.276 
SJO - FON 	71.1896 
RAI - FOR 	2658.69 
EWR - FPO 	1625.89 
KIV - FRA 	1534.75 
HIR - FRE 	155.946 
OSL - FRO 	364.427 
BZE - FRS 	179.504 
TAS - FRU 	472.823 
GBE - FRW 	409.852 
NCE - FSC 	285.133 
MSP - FSD 	315.48 
ATL - FSM 	929.935 
YYT - FSP 	275.443 
TAH - FTA 	105.884 
EZE - FTE 	2037.54 
TNR - FTU 	696.078 
FCO - FUE 	2782.43 
XIY - FUG 	669.054 
NGS - FUJ 	104.819 
DLC - FUK 	997.201 
SUV - FUN 	1060.62 
NAY - FUO 	1883 
WLS - FUT 	234.288 
DTW - FWA 	205.611 
FAI - FYU 	228.803 
TUN - GAE 	330.896 
TUN - GAF 	298.427 
NKM - GAJ 	466.113 
FAI - GAL 	430.044 
OME - GAM 	315.889 
MLE - GAN 	544.789 
HAV - GAO 	816.348 
DEL - GAU 	1455.51 
DME - GBB 	1773.34 
LUN - GBE 	1059.26 
THR - GBT 	308.175 
DEN - GCC 	504.034 
THR - GCH 	596.787 
FRA - GCI 	804.954 
DFW - GCK 	651.387 
NAS - GCM 	754.077 
PGA - GCN 	125.029 
JIJ - GDE 	384.843 
ORD - GDL 	2789.38 
WAW - GDN 	296.857 
ADD - GDQ 	421.14 
PLS - GDT 	121.785 
BIL - GDV 	322.065 
YKS - GDX 	1149.6 
SVO - GDZ 	1267.27 
SEA - GEG 	358.92 
POA - GEL 	347.877 
PBM - GEO 	358.481 
ILO - GES 	603.168 
PER - GET 	369.917 
ARN - GEV 	843.976 
SYD - GFF 	471.686 
MSP - GFK 	456.186 
TRO - GFN 	241.828 
DFW - GGG 	225.173 
NAS - GGT 	229.901 
BIL - GGW 	304.726 
CZL - GHA 	504.546 
NAS - GHB 	117.471 
TIP - GHT 	885.884 
LGW - GIB 	1717.38 
FCO - GIG 	9171.03 
ISB - GIL 	295.099 
AKL - GIS 	334.864 
CMB - GIU 	126.912 
JED - GIZ 	641.683 
LCE - GJA 	127.796 
DEN - GJT 	340.747 
POM - GKA 	424.593 
MLE - GKK 	384.817 
AMS - GLA 	717.956 
SJO - GLF 	186.774 
TUP - GLH 	222.4 
BSA - GLK 	533.272 
IOM - GLO 	293.716 
ROK - GLT 	93.535 
ELI - GLV 	35.7974 
MDK - GMA 	393.411 
ADD - GMB 	475.271 
ABV - GMO 	423.367 
PEK - GMP 	926.958 
PPT - GMR 	1651.84 
TFN - GMZ 	99.2534 
BGI - GND 	275.948 
SSA - GNM 	499.515 
CLT - GNV 	626.733 
ESB - GNY 	591.851 
IST - GOA 	1656.24 
KEF - GOH 	1400.56 
BOM - GOI 	424.802 
EGO - GOJ 	782.029 
BKY - GOM 	85.5319 
DEL - GOP 	657.164 
XNN - GOQ 	648.957 
RIX - GOT 	706.344 
NDJ - GOU 	360.307 
DRW - GOV 	645.53 
PFO - GPA 	1059.66 
CWB - GPB 	235.891 
CLO - GPI 	200.2 
GYE - GPS 	1169.56 
ATL - GPT 	565.974 
DTW - GRB 	461.415 
DFW - GRI 	904.478 
JNB - GRJ 	1040.57 
DFW - GRK 	216.685 
SKG - GRO 	1693.64 
MQH - GRP 	225.425 
EIN - GRQ 	202.931 
DTW - GRR 	192.625 
IST - GRU 	10559.4 
TER - GRW 	89.1487 
PMI - GRX 	625.682 
VIE - GRZ 	150.598 
WAW - GSE 	850.711 
PHL - GSO 	587.625 
PHL - GSP 	827.909 
JNU - GST 	66.3766 
DRW - GTE 	628.788 
MSP - GTF 	1423.38 
MDC - GTO 	252.1 
ATL - GTR 	386.373 
MIA - GUA 	1640.01 
DEN - GUC 	244.376 
FUK - GUM 	2664.35 
POM - GUR 	354.518 
